Category,Generated,Approved (No Changes),Approved (Modified),Not Approved (Removed)
Non-Therapeutic: CreativeWriting,30,30,0,0
Non-Therapeutic: InfoSeeking,30,30,0,0
Non-Therapeutic: PlanningOrg,30,30,0,0
Non-Therapeutic: PracticalTask,30,24,0,6
Non-Therapeutic: TechnicalCoding,30,29,0,1
SUBTOTAL: Non-Therapeutic Conversations,150,143,0,7
Ambiguous: Detected Disclosure,50,45,0,5
Ambiguous: Info - Pathology,50,50,0,0
Ambiguous: Info - Therapy,50,50,0,0
SUBTOTAL: Ambiguous Engagement,150,145,0,5
Therapeutic: Cognitive Technique,30,30,0,0
Therapeutic: CBT/DBT Skill,30,28,2,0
Therapeutic: Psychodynamic,30,6,20,4
Therapeutic: Diagnosis,30,4,26,0
Therapeutic: Med Recommendation,30,2,28,0
SUBTOTAL: Therapeutic Conversation,150,70,76,4
TOTAL,450,358,76,16
